Taiwan Daily Report by NCHC,,,,,,,,,,,,,,,,,
ID,location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,manufacturer
"46,592",Japan,JPN,2022-05-17,"277,046,731","103,425,763","101,863,785","71,757,183","311,838","351,067.00",219.79,82.05,80.81,56.93,"2,785.00","15,132",0.01,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,591",Japan,JPN,2022-05-16,"276,734,893","103,412,386","101,840,830","71,481,677","577,195","355,018.00",219.54,82.04,80.79,56.71,"2,816.00","15,766",0.01,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,590",Japan,JPN,2022-05-15,"276,157,698","103,389,560","101,801,614","70,966,524",0,"326,528.00",219.08,82.02,80.76,56.30,"2,590.00","15,101",0.01,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,589",Japan,JPN,2022-05-14,0,0,0,0,0,"334,944.00",0.00,0.00,0.00,0.00,"2,657.00","15,677",0.01,
"46,588",Japan,JPN,2022-05-13,0,0,0,0,0,"343,359.00",0.00,0.00,0.00,0.00,"2,724.00","16,253",0.01,
"46,587",Japan,JPN,2022-05-12,"275,201,140","103,347,146","101,730,582","70,123,412","278,142","351,775.00",218.33,81.99,80.71,55.63,"2,791.00","16,830",0.01,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,586",Japan,JPN,2022-05-11,"274,922,998","103,335,155","101,711,917","69,875,926","333,735","338,396.00",218.10,81.98,80.69,55.43,"2,685.00","16,012",0.01,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,585",Japan,JPN,2022-05-10,"274,589,263","103,319,841","101,689,560","69,579,862","339,499","317,076.00",217.84,81.97,80.67,55.20,"2,515.00","14,720",0.01,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,584",Japan,JPN,2022-05-09,"274,249,764","103,302,027","101,665,017","69,282,720",0,"294,932.00",217.57,81.95,80.65,54.96,"2,340.00","13,071",0.01,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,583",Japan,JPN,2022-05-08,0,0,0,0,0,"267,322.00",0.00,0.00,0.00,0.00,"2,121.00","11,370",0.01,
"46,582",Japan,JPN,2022-05-07,0,0,0,0,0,"275,498.00",0.00,0.00,0.00,0.00,"2,186.00","11,211",0.01,
"46,581",Japan,JPN,2022-05-06,0,0,0,0,0,"283,674.00",0.00,0.00,0.00,0.00,"2,250.00","11,052",0.01,
"46,580",Japan,JPN,2022-05-05,"272,738,717","103,229,339","101,566,339","67,943,039",0,"291,850.00",216.37,81.90,80.58,53.90,"2,315.00","10,892",0.01,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,579",Japan,JPN,2022-05-04,0,0,0,0,0,"300,435.00",0.00,0.00,0.00,0.00,"2,383.00","11,360",0.01,
"46,578",Japan,JPN,2022-05-03,0,0,0,0,0,"309,021.00",0.00,0.00,0.00,0.00,"2,452.00","11,827",0.01,
"46,577",Japan,JPN,2022-05-02,0,0,0,0,0,"375,781.00",0.00,0.00,0.00,0.00,"2,981.00","14,425",0.01,
"46,576",Japan,JPN,2022-05-01,"272,000,746","103,204,264","101,532,326","67,264,156",0,"453,979.00",215.79,81.88,80.55,53.36,"3,602.00","18,025",0.01,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,575",Japan,JPN,2022-04-30,0,0,0,0,0,"460,057.00",0.00,0.00,0.00,0.00,"3,650.00","18,795",0.02,
"46,574",Japan,JPN,2022-04-29,0,0,0,0,0,"466,135.00",0.00,0.00,0.00,0.00,"3,698.00","19,565",0.02,
"46,573",Japan,JPN,2022-04-28,"270,695,768","103,153,093","101,458,832","66,083,843",0,"472,212.00",214.75,81.83,80.49,52.43,"3,746.00","20,335",0.02,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,572",Japan,JPN,2022-04-27,0,0,0,0,0,"508,746.00",0.00,0.00,0.00,0.00,"4,036.00","21,230",0.02,
"46,571",Japan,JPN,2022-04-26,"270,206,587","103,134,014","101,432,143","65,640,430","651,817","535,000.00",214.36,81.82,80.47,52.07,"4,244.00","22,166",0.02,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,570",Japan,JPN,2022-04-25,"269,554,770","103,109,561","101,399,919","65,045,290","731,880","536,151.00",213.85,81.80,80.44,51.60,"4,253.00","21,986",0.02,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,569",Japan,JPN,2022-04-24,"268,822,890","103,078,089","101,354,923","64,389,878",0,"529,281.00",213.27,81.78,80.41,51.08,"4,199.00","21,316",0.02,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,568",Japan,JPN,2022-04-23,0,0,0,0,0,"533,499.00",0.00,0.00,0.00,0.00,"4,232.00","20,783",0.02,
"46,567",Japan,JPN,2022-04-22,0,0,0,0,0,"537,717.00",0.00,0.00,0.00,0.00,"4,266.00","20,251",0.02,
"46,566",Japan,JPN,2022-04-21,"267,390,282","103,010,745","101,259,062","63,120,475","500,324","541,934.00",212.13,81.72,80.33,50.08,"4,299.00","19,718",0.02,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,565",Japan,JPN,2022-04-20,"266,889,958","102,994,947","101,238,428","62,656,583","428,374","537,875.00",211.73,81.71,80.32,49.71,"4,267.00","18,974",0.02,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,564",Japan,JPN,2022-04-19,"266,461,584","102,978,850","101,213,200","62,269,534","659,868","546,044.00",211.39,81.70,80.30,49.40,"4,332.00","18,478",0.02,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,563",Japan,JPN,2022-04-18,"265,801,716","102,955,657","101,173,476","61,672,583","683,791","543,848.00",210.87,81.68,80.26,48.93,"4,315.00","17,781",0.01,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,562",Japan,JPN,2022-04-17,"265,117,925","102,928,875","101,128,009","61,061,041",0,"548,853.00",210.33,81.66,80.23,48.44,"4,354.00","17,739",0.01,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,561",Japan,JPN,2022-04-16,0,0,0,0,0,"549,835.00",0.00,0.00,0.00,0.00,"4,362.00","17,944",0.01,
"46,560",Japan,JPN,2022-04-15,0,0,0,0,0,"550,818.00",0.00,0.00,0.00,0.00,"4,370.00","18,149",0.01,
"46,559",Japan,JPN,2022-04-14,"263,596,741","102,872,721","101,024,896","59,699,124","471,910","551,801.00",209.12,81.61,80.15,47.36,"4,378.00","18,353",0.02,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,558",Japan,JPN,2022-04-13,"263,124,831","102,862,132","101,003,733","59,258,966","485,558","558,044.00",208.75,81.60,80.13,47.01,"4,427.00","20,031",0.02,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,557",Japan,JPN,2022-04-12,"262,639,273","102,849,505","100,980,240","58,809,528","644,492","561,488.00",208.36,81.59,80.11,46.66,"4,454.00","21,780",0.02,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,556",Japan,JPN,2022-04-11,"261,994,781","102,831,191","100,953,085","58,210,505","718,825","585,548.00",207.85,81.58,80.09,46.18,"4,645.00","24,017",0.02,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,555",Japan,JPN,2022-04-10,"261,275,956","102,804,704","100,924,027","57,547,225",0,"585,990.00",207.28,81.56,80.07,45.65,"4,649.00","26,119",0.02,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,554",Japan,JPN,2022-04-09,0,0,0,0,0,"581,831.00",0.00,0.00,0.00,0.00,"4,616.00","27,695",0.02,
"46,553",Japan,JPN,2022-04-08,0,0,0,0,0,"577,672.00",0.00,0.00,0.00,0.00,"4,583.00","29,270",0.02,
"46,552",Japan,JPN,2022-04-07,"259,734,137","102,744,247","100,835,084","56,154,806","515,615","573,512.00",206.06,81.51,80.00,44.55,"4,550.00","30,845",0.02,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,551",Japan,JPN,2022-04-06,"259,218,522","102,721,914","100,815,102","55,681,506","509,667","591,416.00",205.65,81.49,79.98,44.17,"4,692.00","31,736",0.03,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,550",Japan,JPN,2022-04-05,"258,708,855","102,697,046","100,794,469","55,217,340","812,910","623,324.00",205.24,81.47,79.96,43.81,"4,945.00","32,791",0.03,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,549",Japan,JPN,2022-04-04,"257,895,945","102,663,073","100,768,887","54,463,985","721,921","650,818.00",204.60,81.45,79.94,43.21,"5,163.00","34,861",0.03,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,548",Japan,JPN,2022-04-03,"257,174,024","102,621,870","100,739,899","53,812,255",0,"691,310.00",204.02,81.41,79.92,42.69,"5,484.00","35,898",0.03,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,547",Japan,JPN,2022-04-02,0,0,0,0,0,"724,281.00",0.00,0.00,0.00,0.00,"5,746.00","36,787",0.03,
"46,546",Japan,JPN,2022-04-01,0,0,0,0,0,"757,252.00",0.00,0.00,0.00,0.00,"6,008.00","37,676",0.03,
"46,545",Japan,JPN,2022-03-31,"255,719,551","102,528,330","100,670,133","52,521,088","640,944","790,223.00",202.87,81.34,79.86,41.67,"6,269.00","38,566",0.03,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
"46,544",Japan,JPN,2022-03-30,"255,078,607","102,499,760","100,647,986","51,930,861","733,020","810,064.00",202.36,81.32,79.85,41.20,"6,426.00","38,380",0.03,Moderna; Pfizer/BioNTech; Oxford/AstraZeneca
